# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged.saf" "-F" "SAF" "-o" "counts.txt" "-T" "8" "-p" "aFLAG_FIX_R1.target.filtered.sorted.bam" "aFLAG_FIX_R2.target.filtered.sorted.bam" "aFLAG_NATIVE_R1.target.filtered.sorted.bam" "aFLAG_NATIVE_R2.target.filtered.sorted.bam" "aFOXP3_FIX_R1.target.filtered.sorted.bam" "aFOXP3_FIX_R2.target.filtered.sorted.bam" "aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "IgG_FIX_R1.target.filtered.sorted.bam" "IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aFLAG_FIX_R1.target.filtered.sorted.bam	aFLAG_FIX_R2.target.filtered.sorted.bam	aFLAG_NATIVE_R1.target.filtered.sorted.bam	aFLAG_NATIVE_R2.target.filtered.sorted.bam	aFOXP3_FIX_R1.target.filtered.sorted.bam	aFOXP3_FIX_R2.target.filtered.sorted.bam	aFOXP3_NATIVE_R1.target.filtered.sorted.bam	aFOXP3_NATIVE_R2.target.filtered.sorted.bam	aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	IgG_FIX_R1.target.filtered.sorted.bam	IgG_NATIVE_R1.target.filtered.sorted.bam
chr1_778059_779628	chr1	778059	779628	.	1570	38	20	36	106	71	18	24	14	186	41	34
chr1_827259_827950	chr1	827259	827950	.	692	56	32	42	48	48	22	30	22	302	16	66
chr1_869677_870318	chr1	869677	870318	.	642	16	6	34	48	6	0	15	30	20	32	2
chr1_903316_905848	chr1	903316	905848	.	2533	41	48	88	222	72	32	65	52	54	62	100
chr1_923431_926003	chr1	923431	926003	.	2573	18	12	80	125	18	6	72	108	58	30	46
chr1_938109_943533	chr1	938109	943533	.	5425	36	12	218	202	90	14	88	150	144	76	106
chr1_957616_967430	chr1	957616	967430	.	9815	190	189	330	763	264	134	208	321	1168	182	236
chr1_975056_976819	chr1	975056	976819	.	1764	32	8	56	98	34	10	38	40	54	20	82
chr1_978048_979780	chr1	978048	979780	.	1733	22	14	74	82	33	14	24	40	28	21	82
chr1_981428_982696	chr1	981428	982696	.	1269	6	16	50	48	0	4	26	12	14	8	18
chr1_997885_1002617	chr1	997885	1002617	.	4733	90	84	208	420	80	30	176	204	202	92	94
chr1_1003531_1005431	chr1	1003531	1005431	.	1901	22	8	54	30	16	2	8	2	19	6	16
chr1_1012763_1016107	chr1	1012763	1016107	.	3345	38	20	72	188	64	18	32	50	244	40	136
chr1_1016621_1021362	chr1	1016621	1021362	.	4742	55	42	152	210	67	37	140	236	604	72	62
chr1_1024449_1025672	chr1	1024449	1025672	.	1224	30	8	68	94	28	6	31	53	32	9	26
chr1_1027593_1028573	chr1	1027593	1028573	.	981	12	11	50	34	22	6	20	24	12	4	35
