# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged_peaks.saf" "-F" "SAF" "-p" "-o" "counts.txt" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam
peak1	chr1	778060	779628	.	1569	38	20	36	106	71	18	24	14	186	41	34
peak2	chr1	827260	827950	.	691	56	32	42	48	48	22	30	22	302	16	66
peak3	chr1	869678	870318	.	641	16	6	34	48	6	0	15	30	20	32	2
peak4	chr1	903317	905848	.	2532	41	48	88	222	72	32	65	52	54	62	100
peak5	chr1	923432	926003	.	2572	18	12	80	125	18	6	72	108	58	30	46
peak6	chr1	938110	943533	.	5424	36	12	218	202	90	14	88	150	144	76	106
peak7	chr1	957617	967430	.	9814	190	189	330	763	264	134	208	321	1168	182	236
peak8	chr1	975057	976819	.	1763	32	8	56	98	34	10	38	40	54	20	82
peak9	chr1	978049	979780	.	1732	22	14	74	82	33	14	24	40	28	21	82
peak10	chr1	981429	982696	.	1268	6	16	50	48	0	4	26	12	14	8	18
peak11	chr1	997886	1002617	.	4732	90	84	208	420	80	30	176	204	202	92	94
peak12	chr1	1003532	1005431	.	1900	22	8	54	30	16	2	8	2	19	6	16
peak13	chr1	1012764	1016107	.	3344	38	20	72	188	64	18	32	50	244	40	136
peak14	chr1	1016622	1021362	.	4741	55	42	152	210	67	34	140	236	604	72	62
peak15	chr1	1024450	1025672	.	1223	30	8	68	94	28	6	31	53	32	9	26
peak16	chr1	1027594	1028573	.	980	12	11	50	34	22	6	20	24	12	4	35
peak17	chr1	1032415	1035330	.	2916	22	30	134	195	53	34	102	151	272	58	75
peak18	chr1	1038776	1045351	.	6576	95	61	261	362	121	66	142	224	244	95	222
peak19	chr1	1045663	1047324	.	1662	12	31	70	49	12	6	24	14	8	22	56
peak20	chr1	1047495	1052992	.	5498	70	65	142	273	53	32	81	160	62	58	130
peak21	chr1	1058537	1064965	.	6429	128	102	266	342	168	88	114	125	1158	142	218
peak22	chr1	1066397	1070614	.	4218	108	138	210	306	177	68	124	196	334	172	130
peak23	chr1	1071223	1073091	.	1869	26	6	100	130	4	14	39	42	20	36	36
peak24	chr1	1079285	1080461	.	1177	14	2	22	44	34	4	12	36	38	36	46
peak25	chr1	1081109	1086214	.	5106	59	92	180	229	73	28	75	92	75	60	99
peak26	chr1	1106563	1107461	.	899	12	12	44	26	4	4	13	30	7	6	22
peak27	chr1	1114631	1117339	.	2709	102	136	191	508	166	76	136	222	1116	148	155
peak28	chr1	1117678	1118659	.	982	14	11	29	34	5	8	14	10	22	11	12
peak29	chr1	1121274	1122473	.	1200	5	10	39	59	12	16	17	6	40	24	34
peak30	chr1	1124413	1129431	.	5019	35	16	99	230	54	19	82	58	104	68	67
peak31	chr1	1135732	1138264	.	2533	74	55	96	148	89	33	48	117	84	40	69
peak32	chr1	1142844	1145272	.	2429	30	24	58	123	58	31	38	24	36	25	103
peak33	chr1	1145502	1147047	.	1546	10	12	28	77	10	4	23	38	28	7	18
peak34	chr1	1149428	1151782	.	2355	14	40	71	48	27	4	34	30	41	16	31
peak35	chr1	1156895	1159085	.	2191	36	24	98	164	25	21	35	34	123	46	117
peak36	chr1	1161157	1164221	.	3065	20	18	120	194	24	16	44	59	28	30	100
peak37	chr1	1164487	1165381	.	895	38	4	27	83	21	6	18	46	22	4	17
peak38	chr1	1166287	1168707	.	2421	30	14	107	186	27	10	44	70	26	32	82
peak39	chr1	1170528	1172143	.	1616	8	11	54	56	32	8	32	14	16	26	32
peak40	chr1	1173423	1174387	.	965	8	16	33	19	36	12	22	6	20	12	40
peak41	chr1	1178488	1181984	.	3497	34	28	89	170	43	15	31	100	32	40	49
peak42	chr1	1196966	1198945	.	1980	25	12	68	108	19	31	50	56	38	30	10
peak43	chr1	1200751	1201910	.	1160	52	45	100	126	40	14	48	102	196	48	24
peak44	chr1	1202607	1215514	.	12908	208	289	324	750	303	112	202	236	1400	258	242
peak45	chr1	1216530	1220188	.	3659	55	54	107	178	66	40	65	84	71	113	74
peak46	chr1	1223336	1224205	.	870	12	4	21	26	13	2	20	20	28	7	20
peak47	chr1	1224969	1226121	.	1153	17	7	22	24	6	2	8	6	26	2	3
peak48	chr1	1227033	1228816	.	1784	27	26	70	109	20	10	62	66	36	14	44
peak49	chr1	1230779	1233969	.	3191	125	110	255	384	100	38	222	392	1545	232	60
peak50	chr1	1235976	1240367	.	4392	48	42	137	270	57	30	48	88	79	56	91
peak51	chr1	1241765	1244814	.	3050	33	34	158	172	19	16	36	92	55	64	118
peak52	chr1	1245195	1248127	.	2933	22	10	56	126	14	12	30	50	52	32	73
peak53	chr1	1253869	1255630	.	1762	9	16	70	87	23	9	31	40	22	16	26
peak54	chr1	1260756	1261759	.	1004	0	0	4	14	4	8	2	0	22	0	5
peak55	chr1	1271780	1275222	.	3443	155	160	227	310	190	88	182	240	3002	151	85
peak56	chr1	1281131	1282063	.	933	13	9	20	38	18	8	5	12	26	2	7
peak57	chr1	1284506	1285654	.	1149	10	2	25	44	4	8	2	2	24	9	16
peak58	chr1	1285824	1288260	.	2437	22	24	118	128	28	6	46	48	34	18	72
peak59	chr1	1292065	1297069	.	5005	42	24	192	264	62	14	106	124	65	44	59
peak60	chr1	1298031	1300156	.	2126	31	17	80	125	24	12	35	29	36	37	43
peak61	chr1	1302648	1303641	.	994	8	17	31	13	8	2	16	5	30	16	22
peak62	chr1	1305099	1314090	.	8992	441	514	462	964	658	217	428	533	3142	598	382
peak63	chr1	1319156	1320082	.	927	10	17	16	8	19	6	14	6	28	1	9
peak64	chr1	1320474	1323398	.	2925	51	30	50	53	22	20	22	38	104	26	3
peak65	chr1	1323685	1326643	.	2959	278	196	232	612	265	93	152	200	2538	221	183
peak66	chr1	1326921	1329816	.	2896	30	34	94	82	64	6	40	26	66	51	40
peak67	chr1	1331265	1333941	.	2677	24	37	90	136	21	28	46	72	60	18	100
peak68	chr1	1335858	1341277	.	5420	38	62	208	288	81	42	76	78	120	30	105
peak69	chr1	1341785	1342338	.	554	4	6	12	35	4	6	6	32	13	6	23
peak70	chr1	1342956	1346704	.	3749	28	13	79	120	32	22	38	19	94	21	60
peak71	chr1	1346985	1349180	.	2196	36	20	52	84	20	4	54	94	594	32	50
peak72	chr1	1349544	1350038	.	495	12	18	22	58	6	4	30	56	540	10	0
peak73	chr1	1351428	1352440	.	1013	6	12	16	26	20	14	8	10	22	4	20
peak74	chr1	1352989	1356026	.	3038	18	21	130	202	28	36	72	93	81	58	83
peak75	chr1	1356913	1357427	.	515	3	10	17	21	9	0	2	18	26	4	14
peak76	chr1	1357624	1359135	.	1512	21	4	13	70	17	8	6	2	22	2	15
peak77	chr1	1371693	1377468	.	5776	147	168	178	409	194	74	127	143	1788	165	80
peak78	chr1	1379688	1380414	.	727	12	0	8	13	3	6	2	2	22	4	8
peak79	chr1	1382817	1384382	.	1566	8	0	18	10	18	12	11	20	40	10	28
peak80	chr1	1397839	1400987	.	3149	114	94	132	228	150	68	88	112	2226	146	124
peak81	chr1	1401150	1408557	.	7408	130	154	196	468	186	108	144	186	3352	218	102
